aaa
13085.38529,61,
13085.39051,54,
13085.39051,50,
13085.3959,42,
13085.40151,59,
13085.40151,63,
13085.40707,52,
13085.40707,37,
13085.4126,40,
13085.41804,45,
13085.41804,27,
13085.42327,46,
13085.42877,58,
13085.42877,65,
13085.43402,43,
13085.43755,47,
13085.43755,42,
13085.43899,55,
13085.44017,54,
13085.44017,56,
13085.44114,40,
13085.44195,55,
13085.44195,67,
13085.44269,47,
13085.44334,44,
13085.44334,48,
13085.44397,42,
13085.44452,63,
13085.44452,38,
13085.44506,62,
13085.44556,56,
13085.44556,60,
13085.44603,63,
13085.44646,73,
13085.44646,82,
13085.44687,75,
13085.44726,61,
13085.44726,69,
13085.44761,56,
13085.44795,77,
13085.44795,88,
13085.56997,166,
13085.57,150,
13085.57,193,
13085.57009,175,
13085.57256,145,
13085.57256,139,
13085.57507,169,
13085.57778,131,
13085.57778,129,
13085.58041,118,
13085.58325,112,
13085.58325,162,
13085.58604,203,
13085.58915,185,
13085.58915,183,
13085.59203,228,
13085.5951,208,
13085.5951,182,
13085.59817,205,
13085.6014,257,
13085.6014,237,
13085.60454,220,
13085.60777,193,
13085.60777,213,
13085.61112,253,
13085.61438,269,
13085.61438,249,
13085.61778,197,
13085.62105,248,
13085.62105,201,
13085.62442,193,
13085.62776,238,
13085.62776,161,
13085.63135,216,
13085.63468,157,
13085.63468,175,
13085.63827,162,
13085.63827,176,
13085.64158,151,
13085.64516,163,
13085.64516,159,
13085.64861,115,
13085.65219,101,
13085.65219,104,
13085.65571,110,
13085.6591,117,
13085.6591,122,
13085.66265,145,
13085.66611,120,
13085.66611,126,
13085.66968,180,
13085.67314,145,
13085.67314,154,
13085.67678,198,
13085.68037,173,
13085.68037,150,
13085.6841,157,
13085.68757,156,
13085.68757,188,
13085.69125,166,
13085.69501,153,
13085.69501,111,
13085.69847,145,
13085.70217,194,
13085.70217,161,
13085.70568,158,
13085.70946,163,
13085.70946,160,
13085.71316,156,
13085.71678,170,
13085.71678,149,
13085.7203,138,
13085.72406,204,
13085.72406,130,
13085.72761,179,
13085.73151,156,
13085.73151,101,
13085.73508,102,
13085.73882,170,
13085.73882,121,
13085.74246,110,
13085.74629,124,
13085.74629,134,
13085.74989,129,
13085.75364,152,
13085.75364,158,
13085.75739,204,
13085.76098,149,
13085.76098,168,
13085.76487,168,
13085.76862,118,
13085.76862,107,
13085.77254,90,
13085.77632,86,
13085.77632,67,
13085.78024,92,
13085.78406,74,
13085.78406,80,
13085.78797,69,
13085.79181,89,
13085.79181,71,
13085.79567,91,
13085.79567,81,
13085.79957,81,
13085.8033,69,
13085.8033,69,
13085.80722,61,
13085.81096,63,
13085.81096,50,
13085.81488,46,
13085.81868,49,
13085.81868,59,
13085.82273,59,
13085.82654,54,
13085.82654,38,
13085.83055,40,
13085.83445,49,
13085.83445,46,
13085.83854,62,
13085.84224,55,
13085.84224,64,
13085.84633,41,
13085.8503,42,
13085.8503,39,
13085.85424,68,
13085.85827,59,
13085.85827,72,
13085.86224,46,
13085.86621,54,
13085.86621,47,
13085.87006,42,
13085.8741,23,
13085.8741,22,
13085.87793,20,
13085.88204,48,
13085.88204,53,
13085.88607,40,
13085.89024,31,
13085.89024,24,
13085.89418,33,
13085.89834,41,
13085.89834,27,
13085.90235,28,
13085.90653,16,
13085.90653,16,
13085.91075,28,
13085.91467,22,
13085.91467,26,
13085.9188,13,
13085.92279,36,
13085.92279,30,
13085.92702,31,
13085.93116,32,
13085.93116,17,
13085.93535,32,
13085.93943,26,
13085.93943,22,
13085.9437,32,
13085.94791,27,
13085.94791,19,
13085.95227,19,
13085.95631,29,
13085.95631,20,
13085.96048,20,
13085.96152,28,
13085.96152,22,
13085.96458,24,
13085.96458,19,
13085.96561,20,
13085.96891,26,
13085.96987,16,
13085.96987,27,
13085.97308,12,
13085.97308,17,
13085.97417,16,
13085.97417,18,
13085.97727,28,
13085.97843,24,
