aaa

10991.47776,207,
10991.47563,234,
10991.47646,276,
10991.47707,283,
10991.47723,306,
10991.47561,271,
10991.47448,284,
10991.47333,338,
10991.46774,356,
10991.46637,306,
10991.46231,424,
10991.46168,312,
10991.45897,365,
10991.45756,396,
10991.45548,385,
10991.45303,322,
10991.45346,314,
10991.45047,270,
10991.44871,249,
10991.44567,314,
10991.44682,244,
10991.44314,281,
10991.43966,255,
10991.43968,286,
10991.43735,214,
10991.43398,317,
10991.43064,331,
10991.42691,305,
10991.42807,350,
10991.42647,354,
10991.42429,258,
10991.41948,279,
10991.41937,283,
10991.41611,294,
10991.41714,395,
10991.4133,266,
10991.41136,535,
10991.40913,350,
10991.40728,296,
10991.40133,288,
10991.4,286,
10991.40057,466,
10991.39724,475,
10991.39248,279,
10991.39447,498,
10991.39182,311,
10991.38998,371,
10991.38988,292,
10991.38603,255,
10991.3819,355,
10991.37832,226,
10991.37824,245,
10991.37848,268,
10991.36868,239,
10991.36576,275,
10991.36355,371,
10991.36124,346,
10991.36114,313,
10991.3587,352,
10991.3559,251,
10991.3527,381,
10991.34971,306,
10991.34615,218,
10991.34522,290,
10991.34397,259,
10991.34,191,
10991.34019,208,
10991.33756,249,
10991.33555,240,
10991.33637,215,
10991.33279,226,
10991.32996,165,
10991.32788,143,
10991.32788,178,
10991.32567,158,
10991.32276,150,
10991.31902,136,
10991.31895,144,
10991.31653,170,
10991.31352,126,
10991.31404,201,
10991.31147,161,
10991.30881,153,
10991.30617,100,
10991.30679,151,
10991.30418,156,
10991.30254,140,
10991.29983,136,
10991.2996,136,
10991.29764,181,
10991.29617,187,
10991.296,179,
10991.29348,176,
10991.29175,158,
10991.28866,214,
10991.2873,206,
10991.28479,241,
10991.28321,169,
10991.28145,240,
10991.28037,223,
10991.28085,186,
10991.28024,165,
10991.28014,131,
10991.27858,201,
10991.27663,194,
10991.27372,148,
10991.27463,183,
10991.2722,137,
10991.26802,147,
10991.26719,162,
10991.26548,140,
10991.26477,183,
10991.26079,191,
10991.25937,212,
10991.25855,160,
10991.25847,166,
10991.25379,242,
10991.25305,172,
10991.2509,220,
10991.25081,219,
10991.25005,184,
10991.24825,186,
10991.24502,199,
10991.24476,179,
10991.24423,159,
10991.23953,163,
10991.23929,165,
10991.2375,199,
10991.23418,183,
10991.22969,168,
10991.22341,150,
10991.22667,200,
10991.2192,177,
10991.21801,180,
10991.21604,176,
10991.21299,141,
10991.21045,170,
10991.20599,196,
10991.20697,116,
10991.20494,134,
10991.20272,121,
10991.20017,185,
10991.19546,203,
10991.1953,175,
10991.19154,174,
10991.19078,181,
10991.18757,192,
10991.18755,265,
10991.18546,277,
10991.18514,246,
10991.18251,252,
10991.17972,251,
10991.177,193,
10991.17421,237,
10991.17185,243,
10991.16865,266,
10991.16544,240,
10991.16288,166,
10991.15957,225,
10991.1598,128,
10991.15648,167,
10991.14802,148,
10991.14301,199,
10991.14306,170,
10991.14146,167,
10991.13689,153,
10991.13557,188,
10991.13371,151,
10991.13217,113,
10991.12979,101,
10991.12627,154,
10991.12498,131,
10991.12438,158,
10991.12298,171,
10991.12224,177,
10991.11917,164,
10991.11745,118,
10991.11582,163,
10991.11396,188,
10991.11205,147,
10991.1107,110,
10991.10965,118,
10991.10745,162,
10991.10519,126,
10991.10355,155,
10991.10063,124,
10991.09921,123,
10991.09819,137,
10991.09628,110,
10991.09592,131,
10991.09333,97,
10991.09045,114,
10991.08868,113,
10991.08651,118,
10991.08546,107,
10991.08375,125,
10991.08193,135,
10991.08209,106,
10991.08089,105,
10991.07911,134,
10991.07645,148,
10991.07442,158,
10991.07538,115,
10991.07168,107,
10991.06981,102,
10991.07062,137,
10991.06864,135,
10991.06686,131,
10991.06439,103,
10991.06416,104,
10991.06225,130,
10991.06001,76,
10991.05824,95,
10991.05823,112,
10991.05854,112,
10991.0568,142,
10991.05653,97,
10991.05414,133,
10991.05187,83,
10991.05024,69,
10991.04808,99,
10991.04709,90,
10991.04708,99,
10991.04414,83,
10991.04128,97,
10991.03889,84,
10991.03886,95,
10991.03682,86,
10991.03597,94,
10991.03349,89,
10991.03273,91,
10991.0292,116,
10991.02928,106,
10991.02609,129,
10991.02507,139,
10991.02587,122,
10991.02558,129,
10991.02342,115,
10991.02041,134,
10991.02121,118,
10991.0193,129,
10991.01703,113,
10991.01583,99,
10991.01217,106,
10991.00568,86,
10991.00255,85,
10990.99943,78,
10990.99787,113,
10990.99673,93,
10990.993,75,
10990.98892,96,
10990.98802,103,
10990.98496,83,
10990.98142,89,
10990.97901,59,
