aaa
10991.41559,156,
10991.4141,160,
10991.41353,191,
10991.41173,131,
10991.41482,202,
10991.41358,153,
10991.41541,182,
10991.41591,202,
10991.41711,199,
10991.4141,169,
10991.41218,182,
10991.41017,177,
10991.40576,225,
10991.40373,178,
10991.39992,128,
10991.39554,176,
10991.39439,193,
10991.39133,211,
10991.38942,227,
10991.3867,155,
10991.38482,135,
10991.38147,256,
10991.37979,208,
10991.37778,277,
10991.37581,152,
10991.3758,192,
10991.37236,211,
10991.36966,148,
10991.36586,163,
10991.36475,207,
10991.36327,101,
10991.35946,202,
10991.35805,170,
10991.35652,190,
10991.35261,271,
10991.35073,187,
10991.34727,205,
10991.34393,183,
10991.34286,155,
10991.34006,200,
10991.33679,137,
10991.33481,166,
10991.33249,204,
10991.33002,185,
10991.32675,195,
10991.32398,179,
10991.32353,135,
10991.31977,132,
10991.31722,165,
10991.31614,93,
10991.31152,101,
10991.30926,128,
10991.30715,162,
10991.30377,121,
10991.3031,131,
10991.29963,116,
10991.29729,110,
10991.29391,134,
10991.29189,95,
10991.28885,101,
10991.28753,105,
10991.28291,90,
10991.27936,105,
10991.27746,96,
10991.2748,94,
10991.27156,148,
10991.26774,109,
10991.26643,49,
10991.26237,90,
10991.25976,88,
10991.25582,105,
10991.25288,68,
10991.25064,104,
10991.24856,105,
10991.24567,160,
10991.24301,138,
10991.24228,124,
10991.23913,155,
10991.23452,123,
10991.23282,138,
10991.22993,123,
10991.22677,126,
10991.22421,107,
10991.22238,95,
10991.22011,104,
10991.20989,110,
10991.20829,115,
10991.2076,83,
10991.20374,126,
10991.20185,152,
10991.1993,104,
10991.19697,97,
10991.19455,129,
10991.194,89,
10991.19101,145,
10991.18956,111,
10991.18759,132,
10991.18531,85,
10991.18355,102,
10991.1816,95,
10991.17982,123,
10991.1766,167,
10991.17596,125,
10991.17332,138,
10991.17093,95,
10991.17025,109,
10991.16899,142,
10991.16633,161,
10991.1652,139,
10991.16449,153,
10991.16078,155,
10991.15995,171,
10991.15778,139,
10991.15615,160,
10991.15391,121,
10991.15246,143,
10991.15048,157,
10991.14879,131,
10991.14578,87,
10991.14539,139,
10991.14245,95,
10991.1412,100,
10991.13886,101,
10991.13717,131,
10991.13501,127,
10991.13369,117,
10991.1325,111,
10991.13039,72,
10991.1283,97,
10991.12653,109,
10991.1248,84,
10991.1225,102,
10991.12094,103,
10991.11839,136,
10991.11725,144,
10991.1142,123,
10991.1126,121,
10991.11022,96,
10991.10855,88,
10991.1059,103,
10991.10371,129,
10991.10098,133,
10991.09947,141,
10991.09656,122,
10991.09535,139,
10991.09313,138,
10991.08888,110,
10991.0881,75,
10991.08442,118,
10991.08204,132,
10991.07911,129,
10991.07755,79,
10991.07288,110,
10991.07212,67,
10991.06931,67,
10991.06591,100,
10991.06305,128,
10991.05929,115,
10991.05724,141,
10991.05472,125,
10991.05228,121,
10991.04527,110,
10991.0459,123,
10991.0434,103,
10991.041,127,
10991.03901,96,
10991.03498,112,
10991.03305,116,
10991.0315,98,
10991.02516,81,
10991.02465,75,
10991.02194,84,
10991.01876,91,
10991.01681,62,
10991.014,70,
10991.00933,84,
10991.00937,82,
10991.00637,88,
10991.00356,91,
10991.00287,72,
10991.00191,89,
10990.99728,72,
10990.99734,72,
10990.99597,82,
10990.99339,89,
10990.99244,77,
10990.99036,87,
10990.98885,87,
10990.98625,103,
10990.98358,82,
10990.98167,116,
10990.98066,122,
10990.97755,133,
10990.97522,74,
10990.97409,108,
10990.97159,93,
10990.96964,80,
10990.96838,100,
10990.96484,73,
10990.96466,99,
10990.96179,104,
10990.96017,79,
10990.95724,108,
10990.95435,106,
10990.95448,95,
10990.95244,123,
10990.94856,87,
10990.94639,90,
10990.94485,108,
10990.94142,70,
10990.94255,62,
10990.93946,68,
10990.93373,56,
10990.93326,70,
10990.9313,87,
10990.92895,76,
10990.92516,83,
10990.92429,60,
10990.91863,68,
10990.91579,84,
10990.91177,78,
10990.90939,85,
10990.9077,94,
10990.90445,61,
10990.90047,72,
10990.89674,98,
10990.8892,92,
10990.88917,85,
10990.88437,90,
10990.87909,98,
10990.87903,89,
10990.87313,80,
10990.86788,83,
10990.86905,98,
10990.86342,71,
10990.85787,89,
10990.85536,71,
10990.85311,69,
10960.93968,89,
10990.84604,63,
10990.83924,58,
10990.83667,66,
10990.83415,74,
10960.91995,67,
10990.82999,68,
10990.82682,80,
10990.82462,96,
10990.82238,71,
10990.8236,79,
10990.82185,102,
10990.82485,86,
10990.82419,96,
