aaa
10991.43585,495,
10991.43535,458,
10991.43867,610,
10991.43729,706,
10991.43848,654,
10991.43843,619,
10991.43775,448,
10991.4402,407,
10991.43813,437,
10991.43781,595,
10991.43569,608,
10991.44011,560,
10991.43809,265,
10991.43966,474,
10991.43615,447,
10991.43055,413,
10991.42598,305,
10991.42242,514,
10991.41783,483,
10991.41703,558,
10991.41003,424,
10991.40878,344,
10991.40288,366,
10991.40009,375,
10991.39622,423,
10991.39109,268,
10991.38966,341,
10991.38727,326,
10991.38324,297,
10991.38072,272,
10991.379,297,
10991.37522,277,
10991.37307,304,
10991.36921,295,
10991.36816,254,
10991.36443,335,
10991.3607,365,
10991.35849,349,
10991.35556,319,
10991.35409,302,
10991.34976,405,
10991.3478,323,
10991.34715,368,
10991.34273,237,
10991.34103,214,
10991.33799,311,
10991.33576,304,
10991.33413,287,
10991.33249,342,
10991.32914,281,
10991.32897,267,
10991.3257,223,
10991.32359,140,
10991.32126,159,
10991.31933,166,
10991.3179,139,
10991.31593,154,
10991.31477,187,
10991.31333,165,
10991.3107,164,
10991.30702,133,
10991.3058,160,
10991.3042,126,
10991.30202,110,
10991.29905,119,
10991.29806,148,
10991.29587,140,
10991.29238,116,
10991.28965,125,
10991.28769,180,
10991.28646,166,
10991.28259,126,
10991.28068,170,
10991.27762,125,
10991.27665,149,
10991.27208,170,
10991.26919,133,
10991.26741,149,
10991.26271,129,
10991.26079,109,
10991.25843,117,
10991.25612,130,
10991.25355,111,
10991.24993,113,
10991.24771,142,
10991.24492,112,
10991.24252,114,
10991.23726,125,
10991.23598,111,
10991.23576,137,
10991.23143,118,
10991.22705,133,
10991.2252,136,
10991.21918,118,
10991.22022,109,
10991.21482,83,
10991.2152,111,
10991.20297,100,
10991.20177,108,
10991.19815,84,
10991.19674,102,
10991.19401,116,
10991.19097,99,
10991.19057,90,
10991.18779,98,
10991.18674,99,
10991.18438,90,
10991.18004,85,
10991.17809,80,
10991.17659,153,
10991.17423,113,
10991.17378,125,
10991.17328,102,
10991.17063,93,
10991.16827,103,
10991.16736,87,
10991.16346,92,
10991.16159,68,
10991.15983,84,
10991.15753,81,
10991.15627,74,
10991.1542,51,
10991.15141,64,
10991.15092,90,
10991.14848,78,
10991.14552,100,
10991.14375,97,
10991.14269,78,
10991.13908,69,
10991.14043,73,
10991.13747,79,
10991.13636,68,
10991.13459,70,
10991.13312,73,
10991.13081,71,
10991.13004,69,
10991.12812,76,
10991.12557,116,
10991.12415,111,
10991.12343,109,
10991.12168,104,
10991.11979,84,
10991.11746,103,
10991.11649,110,
10991.11533,93,
10991.11291,116,
10991.11156,97,
10991.10978,96,
10991.10796,95,
10991.1063,106,
10991.10517,103,
10991.10219,85,
10991.10103,92,
10991.0999,96,
10991.09753,80,
10991.09385,70,
10991.0938,90,
10991.09232,73,
10991.09001,78,
10991.08712,61,
10991.08542,46,
10991.08331,48,
10991.08158,41,
10991.08038,58,
10991.07586,57,
10991.07546,51,
10991.07312,56,
10991.06888,40,
10991.06827,57,
10991.06649,37,
10991.06311,52,
10991.0633,36,
10991.06002,52,
10991.0546,47,
10991.05448,52,
10991.05167,57,
10991.04576,52,
10991.04461,62,
10991.04292,50,
10991.03908,55,
10991.03746,58,
10991.0346,52,
10991.02939,34,
10991.02982,27,
10991.02806,31,
10991.0279,48,
